iter	Passed	Remaining
1420	325176	361332
1421	325214	360891
1422	325820	361081
1423	325824	360603
1424	326441	360803
1425	327062	361007
1426	327670	361195
1427	328276	361380
1428	328278	360900
1429	328906	361106
1430	329519	361297
1431	329522	360817
1432	329541	360356
1433	330222	360620
1434	330372	360301
1435	330392	359842
1436	330997	360020
1437	331000	359542
1438	331610	359725
1439	331766	359413
1440	332394	359613
1441	332397	359136
1442	332993	359300
1443	333294	359145
1444	333886	359303
1445	334506	359490
1446	335123	359673
1447	335127	359197
1448	335130	358721
1449	335746	358901
1450	336050	358747
1451	336053	358271
1452	336666	358447
1453	337275	358616
1454	337277	358140
1455	337583	357987
1456	337738	357673
1457	337777	357238
1458	337785	356770
1459	338408	356951
1460	338717	356801
1461	338719	356327
1462	339318	356481
1463	339932	356650
1464	339943	356186
1465	340253	356036
1466	340858	356193
1467	341477	356364
1468	342087	356525
1469	342709	356697
1470	342784	356299
1471	342788	355829
1472	343093	355671
1473	343723	355849
1474	344329	356002
1475	344368	355567
1476	344372	355097
1477	344985	355256
1478	344989	354786
1479	345141	354469
1480	345738	354609
1481	346350	354763
1482	346969	354924
1483	347574	355069
1484	347753	354778
1485	348348	354912
1486	348350	354441
1487	348504	354125
1488	349115	354273
1489	349746	354440
1490	349899	354123
1491	350068	353822
1492	350681	353969
1493	351015	353834
1494	351632	353984
1495	352274	354158
1496	352277	353689
1497	352962	353904
1498	353565	354036
1499	354179	354179
1500	354796	354323
1501	354798	353854
1502	354801	353385
1503	355429	353538
1504	355582	353219
1505	355586	352752
1506	356188	352879
1507	356209	352429
1508	356247	351997
1509	356251	351532
1510	356858	351662
1511	357470	351796
1512	358079	351926
1513	358098	351476
1514	358720	351617
1515	359318	351733
1516	359926	351859
1517	360546	351996
1518	361160	352125
1519	361784	352264
1520	362401	352394
1521	363010	352515
1522	363162	352194
1523	363774	352316
1524	364384	352437
1525	365012	352574
1526	365641	352711
1527	365953	352541
1528	366110	352222
1529	366748	352366
1530	366750	351898
1531	367371	352024
1532	367373	351557
1533	367376	351091
1534	368032	351249
1535	368649	351368
1536	369277	351498
1537	369590	351327
1538	369592	350860
1539	369595	350396
1540	369750	350075
1541	370081	349921
1542	370724	350062
1543	371432	350262
1544	371435	349798
1545	371475	349369
1546	372104	349494
1547	372734	349618
1548	373396	349773
1549	374023	349892
1550	374683	350043
1551	375395	350239
1552	375559	349925
1553	376227	350080
1554	376871	350212
1555	377217	350065
1556	377400	349767
1557	377729	349605
